video_id,video_title,views,watch_time_hours,subscribers_gained,publish_day,publish_hour
TAvzp1ljcHA,No more exercise | உடல் கொழுப்பு எளிதில் கரைய இந்த உணவு மட்டும் போதும் | Diet chart for Weight loss,57957,1716.2564,280,Thursday,0.0
7c1uCM1_IPg,எடையை இப்படியும் வேகமாக குறைக்கலாம் உடற்பயிற்சிக்கு நேரம் இல்லையா | 100% Balanced Diet Weight Loss,56111,2198.7517,327,Tuesday,0.0
B3Zqx5iKiN4,"தேங்கியுள்ள கொழுப்பை சுலபமாக கரைக்கலாம் சளி, இரும்பல், அஜீரண கோளாறு 1 வாரத்தில் முடிவிற்கு வரும்",55016,1872.4975,651,Tuesday,0.0
YGbrOZPggH4,பெண்கள் நம்மளும் Slim-ஆ structure-ஆ தெரியலாம் | Products ஒரு அலசல் |Shapewear-னா? |kaaramkaalaikaapi,38969,1576.6916,344,Thursday,0.0
lYlQAfj4PVA,"மருகு, வயதான தோற்றத்திற்கு எளிமையான வீட்டு வைத்தியம் |ஒரே தடவையில் மாற்றத்தை கொடுக்கும்|Instant Glow",35660,1361.6271,508,Tuesday,0.0
D5QbQXwUugk,"💥R U READY for 15days Challenge? 😀WeightLoss, Digestion, Hydration Challenge | QuarantineChallenge",35524,1411.2219,348,Tuesday,0.0
Yx60Y9xC_Y4,One of the Coffee Varieties | காபி வகையில் இது ஒன்று | Instant Coffee,32865,819.8213,168,Monday,0.0
gnVVvGz0V34,75kg-50kg வருவதற்கு நம்ம பட்ஜெட்டில் இந்த ஆகாரம் மிகவும் உதவியது|Budget Friendly Weight Loss Drink-2,32791,1194.4468,156,Friday,0.0
3vsdqeR5j70,8 Sarees just Rs.1000●★ | KLM Fashion Mall | Each Saree Costs only Rs.125 | Bangalore Shopping,29627,1168.3336,471,Wednesday,0.0
CAlep7lNTrg,எவ்வளவு குண்டானவர்களும் இதை தொடர்ந்து குடித்தால் கொழுப்பு மளமளன்னு குறைந்திடும் Lose 4Kg in 10days,28599,1186.3584,108,Thursday,0.0
