Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),publish_day,publish_hour
_ZcBfecwSYg,ஒரே மாதத்தில் உடல் எடையில் மாற்றத்தை கொடுக்கும் | வேகமாக எடை குறைக்கும் சிறந்த பால் வகைகள்,03-08-2019,607,81129,3834.8789,732,26.248,1210226,4.59,Saturday,0
auLly4vAMp4,"இந்த காயின் பொடி 1 ஸ்பூன் போதும் | சித்தர்களின் வழிகாட்டல் | - கொழுப்பு, மலச்சிக்கல், மாதவிடாய்",07-11-2019,222,73868,2319.2365,353,22.478,965097,5.88,Thursday,0
DrC-cmXkOys,7 Days 7 Detox Drink for Easy Weight Loss in Tamil | Effective Drinks During My Weight Loss Journey,28-02-2020,809,68200,4720.1703,630,23.363,896495,5.15,Friday,0
MJKy-kod09k,வேகமாக எடை குறைக்க சிறந்த பால் | ஒரே மாதத்தில் மாற்றத்தை கொடுக்கும் | Weight Loss Milk,11-06-2019,289,64421,2249.0263,491,17.674,794595,5.86,Tuesday,0
FpKo7gMnMkI,இந்த தண்ணீர் குடித்து எவ்வளவு kg வேணாலும் சட்டுன்னு குறைக்கலாம்| Budget friendly drink series-1,09-06-2020,283,61948,2040.8824,205,7.465,724207,6.68,Tuesday,0
PkPAAm_4uqI,புதுவித உணவு- வேகமாக எடை குறைக்க சிறந்த காலை உணவு | Breakfast recipe for Healthy Weight Loss,26-05-2019,381,59647,3001.3396,1202,21.868,836873,5.03,Sunday,0
TAvzp1ljcHA,No more exercise | உடல் கொழுப்பு எளிதில் கரைய இந்த உணவு மட்டும் போதும் | Diet chart for Weight loss,20-06-2019,234,57957,1716.2564,280,17.808,613156,7.05,Thursday,0
7c1uCM1_IPg,எடையை இப்படியும் வேகமாக குறைக்கலாம் உடற்பயிற்சிக்கு நேரம் இல்லையா | 100% Balanced Diet Weight Loss,04-06-2019,400,56111,2198.7517,327,18.038,679565,5.91,Tuesday,0
B3Zqx5iKiN4,"தேங்கியுள்ள கொழுப்பை சுலபமாக கரைக்கலாம் சளி, இரும்பல், அஜீரண கோளாறு 1 வாரத்தில் முடிவிற்கு வரும்",27-08-2019,227,55016,1872.4975,651,14.318,741071,5.52,Tuesday,0
YGbrOZPggH4,பெண்கள் நம்மளும் Slim-ஆ structure-ஆ தெரியலாம் | Products ஒரு அலசல் |Shapewear-னா? |kaaramkaalaikaapi,05-03-2020,780,38969,1576.6916,344,7.304,377201,7.81,Thursday,0
lYlQAfj4PVA,"மருகு, வயதான தோற்றத்திற்கு எளிமையான வீட்டு வைத்தியம் |ஒரே தடவையில் மாற்றத்தை கொடுக்கும்|Instant Glow",13-08-2019,357,35660,1361.6271,508,8.299,560089,4.73,Tuesday,0
